T[s]	GYRO_X	GYRO_Y	GYRO_Z	GyroSts	ACC_X	ACC_Y	ACC_Z	AccSts	INC_X	INC_Y	INC_Z	IncSts	Counter	Latency	RxCRC	CalCRC	DG_ID	
0.173554	-0.060486	0.018494	0.011230	0	0.0209122	0.0105362	0.9865990	0	0.02181578	0.00700259	1.00098348	0	4	507	-1811304637	-1811304637	147
0.173577	-0.062805	0.026245	-0.002563	0	0.0205669	0.0105553	0.9871216	0	0.02278328	0.00694561	1.00011754	0	20	506	2099832871	2099832871	147
0.197522	-0.051697	0.022766	-0.011719	0	0.0200863	0.0105553	0.9875755	0	0.02254796	0.00654173	1.00020885	0	36	506	1538274348	1538274348	147
0.197655	-0.037109	0.004700	-0.004517	0	0.0191555	0.0102024	0.9879379	0	0.02123380	0.00606275	1.00043941	0	52	506	-2097145158	-2097145158	147
0.197669	-0.038208	-0.009155	0.018555	0	0.0179558	0.0096073	0.9881897	0	0.02004957	0.00601268	1.00023437	0	68	506	121812339	121812339	147
0.221523	-0.050110	-0.009216	0.033813	0	0.0170536	0.0088501	0.9881630	0	0.01963782	0.00611234	1.00015950	0	84	506	-1239008544	-1239008544	147
0.221546	-0.060913	-0.006653	0.026001	0	0.0168247	0.0084610	0.9880371	0	0.01955700	0.00573802	1.00060773	0	100	506	-1817465491	-1817465491	147
0.255159	-0.070557	-0.005737	0.013672	0	0.0173569	0.0089397	0.9880543	0	0.01941323	0.00533605	1.00102353	0	116	506	-1098674755	-1098674755	147
0.255176	-0.075928	0.000366	0.021545	0	0.0183620	0.0097580	0.9879303	0	0.01949000	0.00553370	1.00106573	0	132	507	1162440705	1162440705	147
0.255193	-0.077637	0.006897	0.046082	0	0.0194263	0.0102978	0.9874840	0	0.02011561	0.00598812	1.00100923	0	148	506	-280135023	-280135023	147
0.255210	-0.078735	0.007690	0.058960	0	0.0204411	0.0107613	0.9870834	0	0.02112031	0.00652838	1.00100446	0	164	507	-1083040818	-1083040818	147
0.269401	-0.072083	0.004700	0.042847	0	0.0213909	0.0115318	0.9871731	0	0.02244282	0.00734162	1.00091696	0	180	506	2012496744	2012496744	147
0.269421	-0.064453	0.004822	0.015991	0	0.0218525	0.0123310	0.9875603	0	0.02381682	0.00812173	1.00074244	0	196	506	-952218115	-952218115	147
0.269434	-0.068115	0.015564	0.003723	0	0.0216484	0.0123119	0.9875507	0	0.02458477	0.00844193	1.00069571	0	212	506	-1085998123	-1085998123	147
0.293376	-0.073242	0.024780	0.007263	0	0.0208111	0.0112667	0.9870892	0	0.02459311	0.00812626	1.00073290	0	228	506	1623951609	1623951609	147
0.293401	-0.066772	0.018860	0.018311	0	0.0192719	0.0100784	0.9867001	0	0.02401090	0.00722504	1.00060296	0	244	506	-1181491396	-1181491396	147
0.293414	-0.051941	0.012024	0.034851	0	0.0177574	0.0093174	0.9866543	0	0.02306962	0.00622892	1.00040579	0	4	506	1534044239	1534044239	147
0.317312	-0.040710	0.015259	0.051819	0	0.0169697	0.0087852	0.9869957	0	0.02182126	0.00557470	1.00058699	0	20	506	687828184	687828184	147
0.317391	-0.036316	0.017334	0.059753	0	0.0167484	0.0083179	0.9876785	0	0.02021360	0.00507331	1.00128007	0	36	506	-1645605848	-1645605848	147
0.317404	-0.038330	0.019348	0.057983	0	0.0167980	0.0081520	0.9883671	0	0.01885438	0.00479412	1.00199151	0	52	507	-1782718721	-1782718721	147
0.341306	-0.050659	0.024109	0.055359	0	0.0170784	0.0087738	0.9887524	0	0.01838064	0.00512910	1.00218201	0	68	506	312213557	312213557	147
0.341334	-0.067932	0.022888	0.059509	0	0.0178032	0.0099468	0.9886303	0	0.01883173	0.00572515	1.00181055	0	84	506	-619875300	-619875300	147
0.341402	-0.072815	0.017944	0.059204	0	0.0190220	0.0107269	0.9877930	0	0.02003479	0.00592399	1.00124693	0	100	506	1492419394	1492419394	147
