T[s]	GYRO_X	GYRO_Y	GYRO_Z	GyroSts	ACC_X	ACC_Y	ACC_Z	AccSts	INC_X	INC_Y	INC_Z	IncSts	Counter	Latency	RxCRC	CalCRC	DG_ID	
0.085323	-0.073914	0.028809	0.046631	0	0.0599060	0.0052128	0.9839478	0	0.06269240	0.00209117	0.99995017	0	105	507	-1786292368	-1786292368	147
0.085355	-0.081909	0.038696	0.041382	0	0.0589066	0.0045261	0.9837456	0	0.06232309	0.00229788	0.99944329	0	121	506	1385280685	1385280685	147
0.109346	-0.077087	0.037231	0.033569	0	0.0582504	0.0041847	0.9838104	0	0.06120706	0.00239229	0.99877930	0	137	506	-378417497	-378417497	147
0.109532	-0.059631	0.038086	0.039368	0	0.0576820	0.0044441	0.9841290	0	0.06016135	0.00201631	0.99820590	0	153	506	-934946583	-934946583	147
0.109551	-0.052917	0.030396	0.054260	0	0.0568466	0.0046482	0.9847012	0	0.05963945	0.00132990	0.99809313	0	169	506	-1292547856	-1292547856	147
0.133251	-0.059387	0.015625	0.069580	0	0.0565128	0.0049877	0.9849625	0	0.05945063	0.00113869	0.99880934	0	185	506	371946253	371946253	147
0.133282	-0.053589	0.013428	0.072205	0	0.0571690	0.0055046	0.9845638	0	0.05956268	0.00151610	0.99970722	0	201	506	302285783	302285783	147
0.133827	-0.034119	0.020447	0.061890	0	0.0580368	0.0054531	0.9838848	0	0.05990291	0.00164866	0.99958324	0	217	506	-783799118	-783799118	147
0.157218	-0.028381	0.019897	0.046143	0	0.0586185	0.0052853	0.9835949	0	0.06021070	0.00155473	0.99865460	0	233	506	-1887599493	-1887599493	147
0.157240	-0.046082	0.012024	0.025635	0	0.0590916	0.0055695	0.9838066	0	0.06055140	0.00187993	0.99818134	0	249	507	168925964	168925964	147
0.157252	-0.062317	0.003662	0.008728	0	0.0594711	0.0055771	0.9840260	0	0.06120467	0.00235868	0.99837875	0	9	507	-996875514	-996875514	147
0.181202	-0.053589	-0.004822	0.003845	0	0.0594139	0.0052261	0.9840431	0	0.06201029	0.00248194	0.99865484	0	25	507	-57794664	-57794664	147
0.181223	-0.031982	-0.012878	0.009338	0	0.0588188	0.0052090	0.9842262	0	0.06221271	0.00246167	0.99884605	0	41	507	1040685055	1040685055	147
0.181236	-0.021301	-0.017334	0.017578	0	0.0580425	0.0054970	0.9847393	0	0.06161618	0.00249052	0.99894047	0	57	506	890555687	890555687	147
0.205147	-0.026001	-0.013916	0.020630	0	0.0574360	0.0057926	0.9850235	0	0.06098771	0.00227952	0.99892044	0	73	506	-1344013034	-1344013034	147
0.205186	-0.040344	-0.007568	0.022339	0	0.0573483	0.0062618	0.9848557	0	0.06055927	0.00169754	0.99901772	0	89	506	99817519	99817519	147
0.205204	-0.052124	-0.003296	0.029846	0	0.0575848	0.0067120	0.9848709	0	0.06006861	0.00141072	0.99912024	0	105	506	506103118	506103118	147
0.229165	-0.053955	0.003235	0.040161	0	0.0576706	0.0067940	0.9852848	0	0.05984998	0.00203204	0.99884248	0	121	506	1364465496	1364465496	147
