T[s]	GYRO_X	GYRO_Y	GYRO_Z	GyroSts	ACC_X	ACC_Y	ACC_Z	AccSts	INC_X	INC_Y	INC_Z	IncSts	Counter	Latency	RxCRC	CalCRC	DG_ID	
0.079563	-0.055481	0.018433	0.037476	0	-0.0115509	0.0094738	-1.0087643	0	-0.00785470	0.00638676	-0.99878287	0	32	506	-291174270	-291174270	147
0.103561	-0.051086	0.005981	0.035278	0	-0.0115757	0.0094032	-1.0082493	0	-0.00738192	0.00573301	-0.99879622	0	48	506	1965619625	1965619625	147
0.103581	-0.057983	0.005066	0.037109	0	-0.0122890	0.0094833	-1.0074558	0	-0.00745344	0.00551486	-0.99847126	0	64	506	-1193570927	-1193570927	147
0.103736	-0.073242	0.004517	0.037781	0	-0.0131588	0.0093536	-1.0067482	0	-0.00789475	0.00550818	-0.99886608	0	80	506	1140506266	1140506266	147
0.127551	-0.076294	0.001221	0.028625	0	-0.0133572	0.0092335	-1.0064487	0	-0.00840092	0.00520778	-0.99983454	0	96	506	831775753	831775753	147
0.127566	-0.056702	0.002869	0.022766	0	-0.0127716	0.0094299	-1.0067787	0	-0.00889921	0.00472021	-1.00038147	0	112	506	67062004	67062004	147
0.127578	-0.033630	0.004028	0.027954	0	-0.0122375	0.0096798	-1.0075321	0	-0.00928974	0.00442076	-1.00066662	0	128	505	-1597368522	-1597368522	147
0.151570	-0.030090	-0.004333	0.024841	0	-0.0122604	0.0097523	-1.0081444	0	-0.00941300	0.00479650	-1.00109673	0	144	507	-1348222157	-1348222157	147
0.151589	-0.043457	-0.006653	0.015686	0	-0.0123291	0.0098190	-1.0082417	0	-0.00929046	0.00581479	-1.00129867	0	160	507	-76041509	-76041509	147
0.151605	-0.051331	0.005615	0.018433	0	-0.0119247	0.0099850	-1.0078468	0	-0.00922060	0.00649095	-1.00118518	0	176	507	-1002095741	-1002095741	147
0.175553	-0.047424	0.012512	0.022949	0	-0.0113831	0.0100231	-1.0073605	0	-0.00912094	0.00615430	-1.00112844	0	192	506	498738	498738	147
0.175566	-0.048767	0.008850	0.025757	0	-0.0111694	0.0099545	-1.0072498	0	-0.00862098	0.00559092	-1.00136256	0	208	506	-1565182122	-1565182122	147
0.175577	-0.062317	0.005188	0.036499	0	-0.0111675	0.0098877	-1.0073833	0	-0.00804567	0.00560069	-1.00170684	0	224	506	-1127596642	-1127596642	147
0.199516	-0.072632	0.002258	0.042236	0	-0.0111561	0.0097027	-1.0074692	0	-0.00782466	0.00567627	-1.00167179	0	240	506	864922424	864922424	147
0.199562	-0.068237	0.002258	0.034790	0	-0.0113544	0.0095291	-1.0074158	0	-0.00779462	0.00552940	-1.00128484	0	0	506	-20207471	-20207471	147
0.199574	-0.061096	0.009888	0.030579	0	-0.0120792	0.0095081	-1.0070667	0	-0.00773787	0.00567055	-1.00080514	0	16	506	-1104301822	-1104301822	147
