T[s]	GYRO_X	GYRO_Y	GYRO_Z	GyroSts	ACC_X	ACC_Y	ACC_Z	AccSts	INC_X	INC_Y	INC_Z	IncSts	Counter	Latency	RxCRC	CalCRC	DG_ID	
0.118779	-0.019653	0.001648	0.084351	0	-0.0125961	0.0115376	-1.0062199	0	-0.01270747	0.00984406	-1.00281644	0	127	506	-1026367830	-1026367830	147
0.142759	0.053406	0.126221	0.076904	0	-0.0168171	0.0153084	-1.0055923	0	-0.01128793	0.00538588	-1.00418234	0	143	506	-2076707878	-2076707878	147
0.142773	-0.055542	-0.056519	0.039734	0	-0.0144329	0.0128613	-0.9969921	0	-0.01173520	0.00578284	-0.99884462	0	159	506	-2015178538	-2015178538	147
0.142916	-0.077026	-0.103149	0.008362	0	-0.0133209	0.0091286	-1.0047455	0	-0.00978851	0.00651526	-0.99715590	0	175	506	183828270	183828270	147
0.166749	-0.024536	-0.013062	-0.004944	0	-0.0171013	0.0101814	-1.0147991	0	-0.01144838	0.01071072	-0.99867105	0	191	507	-694095952	-694095952	147
0.166769	-0.023926	0.010193	0.175537	0	-0.0174255	0.0060234	-1.0142326	0	-0.01210117	0.00773239	-1.00329733	0	207	507	1118194868	1118194868	147
0.166781	-0.037598	-0.027954	0.062256	0	-0.0176811	0.0065784	-1.0060749	0	-0.01195097	0.00420237	-1.00322151	0	223	507	55210530	55210530	147
0.193894	-0.134399	0.190308	0.134583	0	-0.0171413	0.0110340	-1.0084400	0	-0.01325655	0.00496578	-1.00145340	0	239	506	1878474966	1878474966	147
0.193927	0.017334	-0.052734	-0.000671	0	-0.0156307	0.0074024	-1.0085144	0	-0.01631880	0.00504351	-1.00406551	0	255	506	-1936484314	-1936484314	147
0.193958	-0.001282	-0.018066	0.097107	0	-0.0138035	0.0124092	-1.0025101	0	-0.01389480	0.00755262	-0.99994135	0	15	506	-1820609449	-1820609449	147
0.214761	-0.010803	0.034485	0.055420	0	-0.0188789	0.0087719	-1.0025215	0	-0.01532650	0.00317121	-0.99627328	0	31	506	987426068	987426068	147
0.214797	-0.013855	-0.039185	0.019775	0	-0.0150852	0.0107479	-1.0075226	0	-0.01276541	0.00496411	-0.99464774	0	47	506	-2789044	-2789044	147
0.214829	-0.064331	0.081299	0.013855	0	-0.0132408	0.0112209	-1.0166759	0	-0.01386237	0.00603724	-1.00251269	0	63	506	-477842084	-477842084	147
0.238716	-0.204041	0.053833	-0.026184	0	-0.0151196	0.0090866	-1.0098209	0	-0.01508617	0.00741220	-1.00467038	0	79	507	449594183	449594183	147
0.238812	-0.056213	-0.045715	0.020325	0	-0.0154152	0.0044823	-1.0032291	0	-0.01442671	0.00691819	-1.00278950	0	95	507	1354824269	1354824269	147
0.238843	0.065918	0.039551	0.019226	0	-0.0137672	0.0083981	-1.0070763	0	-0.01426768	0.00456882	-0.99817705	0	111	507	642363461	642363461	147
0.262698	-0.024353	0.041809	-0.009644	0	-0.0136833	0.0075817	-1.0066853	0	-0.01348543	0.00411201	-0.99982905	0	127	507	-1608965584	-1608965584	147
0.262748	-0.023438	0.040405	0.108276	0	-0.0143414	0.0093250	-0.9995937	0	-0.01302481	0.00460601	-0.99928784	0	143	506	-1220376493	-1220376493	147
0.262768	-0.022156	-0.030884	-0.027161	0	-0.0164585	0.0101910	-1.0083656	0	-0.01116967	0.00474072	-0.99664736	0	159	506	714874228	714874228	147
0.286665	-0.109924	0.072998	0.056091	0	-0.0165653	0.0130234	-1.0097923	0	-0.01370573	0.00561571	-1.00254750	0	175	506	514774486	514774486	147
0.286680	-0.103149	-0.093567	-0.012939	0	-0.0114746	0.0119057	-1.0142708	0	-0.01429033	0.00523829	-1.00363016	0	191	506	-976862775	-976862775	147
0.286723	-0.112915	-0.218994	0.031738	0	-0.0175495	0.0108585	-1.0047379	0	-0.01217103	0.00777698	-1.00495028	0	207	505	-1277884884	-1277884884	147
0.310648	-0.001526	0.033875	0.111145	0	-0.0161381	0.0107956	-1.0044708	0	-0.01307821	0.00641251	-1.00233150	0	223	506	851867666	851867666	147
0.310665	-0.103760	-0.020325	0.013916	0	-0.0189877	0.0071449	-1.0038929	0	-0.01361871	0.00574732	-0.99837112	0	239	507	1252309574	1252309574	147
0.310677	-0.053772	0.079834	-0.122803	0	-0.0143242	0.0087700	-1.0046616	0	-0.01228738	0.00492787	-0.99956965	0	255	507	-1323238394	-1323238394	147
0.334622	-0.073242	0.059082	0.041748	0	-0.0178261	0.0082912	-1.0090294	0	-0.01422429	0.00496793	-0.99935246	0	15	507	814526036	814526036	147
0.334642	0.065247	0.052368	0.079102	0	-0.0141582	0.0101871	-1.0059719	0	-0.01281023	0.00661397	-1.00209570	0	31	507	-705603682	-705603682	147
0.334654	-0.027283	-0.005981	-0.114685	0	-0.0142708	0.0087204	-1.0063457	0	-0.01352692	0.00491190	-1.00442314	0	47	507	543222212	543222212	147
0.358632	0.047363	0.001282	0.089600	0	-0.0149937	0.0083046	-1.0066719	0	-0.01399994	0.00498271	-0.99947715	0	63	506	2147289111	2147289111	147
0.358659	-0.221863	-0.035400	-0.032104	0	-0.0162525	0.0127296	-1.0077209	0	-0.01361728	0.00482440	-0.99776125	0	79	506	-1660138083	-1660138083	147
0.358671	-0.047668	-0.037048	0.119080	0	-0.0132198	0.0112190	-1.0068893	0	-0.01537013	0.00649786	-0.99766088	0	95	506	-1011378074	-1011378074	147
