T[s]	GYRO_X	GYRO_Y	GYRO_Z	GyroSts	ACC_X	ACC_Y	ACC_Z	AccSts	INC_X	INC_Y	INC_Z	IncSts	Counter	Latency	RxCRC	CalCRC	DG_ID	
0.091317	0.613586	-0.428772	-1.042786	0	0.0663300	0.0191956	0.9889717	0	0.07133150	0.01504445	1.00102782	0	140	506	-2144799694	-2144799694	147
0.091350	0.466736	-0.527771	-0.747375	0	0.0691948	0.0199203	0.9859104	0	0.07187414	0.01676035	0.99725962	0	156	506	1040606530	1040606530	147
0.115276	0.143677	-0.747559	-0.682007	0	0.0716782	0.0169792	0.9835892	0	0.06757593	0.01536345	0.99593067	0	172	506	-1538730158	-1538730158	147
0.115406	-0.209778	-0.842957	-0.605530	0	0.0662918	0.0160694	0.9839573	0	0.07034230	0.01347756	0.99340343	0	188	506	-916615014	-916615014	147
0.115420	-0.251038	-0.816040	-0.526428	0	0.0667114	0.0153522	0.9810162	0	0.06865907	0.00916791	0.99250889	0	204	507	-1457016549	-1457016549	147
0.179240	-0.428528	-1.000488	-0.357300	0	0.0697079	0.0147095	0.9805508	0	0.06846571	0.01255059	0.98976183	0	220	507	1226808700	1226808700	147
0.179257	-0.317078	-0.870728	-0.147217	0	0.0662155	0.0175972	0.9798355	0	0.06691623	0.01450992	0.99095654	0	236	507	-1037376458	-1037376458	147
0.185128	-0.054077	-0.741455	-0.138672	0	0.0706444	0.0150375	0.9808044	0	0.07030368	0.01281357	0.98889303	0	252	506	628641975	628641975	147
0.185145	0.353149	-0.431641	-0.100708	0	0.0639725	0.0231686	0.9835320	0	0.07010245	0.01244736	0.98664427	0	12	506	1984535041	1984535041	147
0.185161	0.598328	-0.222595	-0.065491	0	0.0676041	0.0166817	0.9794655	0	0.06982303	0.01425743	0.98692822	0	28	506	1309586493	1309586493	147
0.185210	0.784241	0.346008	-0.147156	0	0.0657253	0.0180073	0.9814892	0	0.06710196	0.01339722	0.98816586	0	44	506	577577848	577577848	147
0.185225	0.643433	1.041504	-0.089722	0	0.0606804	0.0187721	0.9836960	0	0.06821394	0.01360703	0.98711920	0	60	506	49362037	49362037	147
0.185241	0.435364	1.493225	-0.133972	0	0.0626278	0.0138741	0.9837933	0	0.06358457	0.01125145	0.99016881	0	76	506	670092805	670092805	147
0.228220	0.106323	1.802490	-0.221313	0	0.0605927	0.0143776	0.9835873	0	0.06268406	0.01214552	0.99179697	0	92	506	2104456266	2104456266	147
0.228262	-0.494080	2.185913	-0.460266	0	0.0639172	0.0176258	0.9887714	0	0.06359267	0.01275730	0.99500489	0	108	507	826959319	826959319	147
0.228274	-1.165283	2.089294	-0.877563	0	0.0617256	0.0150585	0.9918308	0	0.06399751	0.01511025	0.99734545	0	124	507	760369423	760369423	147
0.228286	-1.887268	1.783569	-0.826843	0	0.0650196	0.0189800	0.9862690	0	0.06495285	0.01403546	0.99832654	0	140	507	308767468	308767468	147
0.228297	-2.190857	1.433655	-1.039185	0	0.0652370	0.0195122	0.9914207	0	0.06728625	0.01409054	0.99741030	0	156	506	-1997944706	-1997944706	147
0.228330	-2.317200	1.105347	-1.177368	0	0.0661640	0.0188923	0.9946651	0	0.06801367	0.01798677	0.99703455	0	172	506	1958982862	1958982862	147
0.332156	-2.121399	0.744080	-1.305908	0	0.0661602	0.0177746	0.9901905	0	0.06481099	0.01527691	1.00132608	0	188	506	1478666650	1478666650	147
0.332176	-1.519409	0.505127	-1.369019	0	0.0672741	0.0156155	0.9958515	0	0.06641030	0.01666379	1.00227332	0	204	506	-596981170	-596981170	147
0.332189	-0.902893	0.437256	-1.359619	0	0.0673656	0.0170383	0.9892006	0	0.06979251	0.01570606	1.00478435	0	220	506	201189515	201189515	147
0.332243	-0.230408	0.084839	-1.607849	0	0.0648594	0.0161991	0.9918766	0	0.06568289	0.01346326	1.00410008	0	236	506	-1205828817	-1205828817	147
0.332255	0.171692	-0.080811	-1.673096	0	0.0705032	0.0141888	0.9959278	0	0.06961560	0.01228547	1.00360346	0	252	506	546533762	546533762	147
0.332267	0.994812	-0.092957	-1.737244	0	0.0696831	0.0162468	0.9934826	0	0.06922126	0.01563144	1.00511289	0	12	507	-817131836	-817131836	147
0.332296	1.396240	-0.468140	-1.603699	0	0.0700703	0.0152645	0.9936180	0	0.06926131	0.01320648	1.00440359	0	28	507	-1361484406	-1361484406	147
