T[s]	GYRO_X	GYRO_Y	GYRO_Z	GyroSts	ACC_X	ACC_Y	ACC_Z	AccSts	INC_X	INC_Y	INC_Z	IncSts	Counter	Latency	RxCRC	CalCRC	DG_ID	
0.067646	0.070435	0.034546	-0.034668	0	-0.0124931	0.0085220	-1.0086327	0	-0.00687027	0.00509834	-1.00115061	0	214	506	1656316399	1656316399	147
0.085649	-0.070068	-0.156250	-0.031250	0	-0.0116806	0.0120029	-1.0067596	0	-0.00701785	0.00634909	-1.00052571	0	230	506	53968273	53968273	147
0.085668	-0.045410	0.120850	0.098694	0	-0.0116577	0.0096951	-1.0060272	0	-0.00786471	0.00693083	-1.00246763	0	246	507	1630293905	1630293905	147
0.085872	0.021729	0.057556	0.067627	0	-0.0128250	0.0102253	-1.0050850	0	-0.00785923	0.00841546	-0.99711895	0	6	507	-1266963650	-1266963650	147
0.109612	-0.007629	0.039124	-0.023071	0	-0.0116291	0.0086861	-1.0034676	0	-0.00735402	0.00674224	-1.00000834	0	22	507	1910520500	1910520500	147
0.109625	0.119202	-0.099304	0.009033	0	-0.0104771	0.0099258	-1.0059967	0	-0.00785947	0.00657725	-0.99812484	0	38	506	2052816226	2052816226	147
0.109637	0.080933	0.075928	0.119812	0	-0.0109425	0.0137100	-1.0087986	0	-0.00730729	0.00819540	-1.00141311	0	54	506	-2117426252	-2117426252	147
0.133600	-0.067383	-0.037109	0.029541	0	-0.0143204	0.0138321	-1.0077801	0	-0.00927520	0.00792432	-1.00078845	0	70	506	773504085	773504085	147
0.133616	-0.114990	0.091125	0.055786	0	-0.0082531	0.0110111	-1.0050297	0	-0.01020527	0.00855112	-1.00122023	0	86	506	1828886911	1828886911	147
0.133628	-0.109863	-0.057129	0.081055	0	-0.0096035	0.0080681	-1.0068932	0	-0.00802231	0.00629497	-0.99932241	0	102	506	1781263085	1781263085	147
0.157563	0.020142	0.100830	0.032288	0	-0.0106888	0.0097218	-1.0084572	0	-0.00645781	0.00712466	-0.99642038	0	118	506	-1148679744	-1148679744	147
0.157576	-0.099182	0.025940	-0.015015	0	-0.0138607	0.0071621	-1.0090179	0	-0.00757170	0.00690889	-0.99896455	0	134	507	-88141055	-88141055	147
0.157588	0.022339	0.112183	0.090271	0	-0.0117035	0.0131760	-1.0004692	0	-0.00764227	0.00576901	-0.99979663	0	150	506	-732036416	-732036416	147
0.181537	-0.143616	0.011414	-0.044800	0	-0.0143356	0.0089684	-1.0060463	0	-0.00683641	0.00773740	-0.99930739	0	166	507	1735306512	1735306512	147
0.181574	-0.077271	-0.002747	0.037842	0	-0.0106869	0.0118351	-1.0078030	0	-0.00904799	0.00664020	-1.00143218	0	182	507	-2098864812	-2098864812	147
0.181587	0.007507	0.150818	-0.056641	0	-0.0119114	0.0119553	-1.0135612	0	-0.00511289	0.00909901	-1.00110817	0	198	507	-805365859	-805365859	147
