T[s]	GYRO_X	GYRO_Y	GYRO_Z	GyroSts	ACC_X	ACC_Y	ACC_Z	AccSts	INC_X	INC_Y	INC_Z	IncSts	Counter	Latency	RxCRC	CalCRC	DG_ID	
0.069449	-0.058838	0.012451	-0.186157	0	0.0015259	0.0325298	0.9917583	0	0.00391746	0.02860808	1.00057626	0	89	507	-37431042	-37431042	147
0.087034	-0.076721	-0.037048	-0.079041	0	0.0040932	0.0307961	0.9887295	0	0.00417709	0.02783394	1.00079441	0	105	507	291193173	291193173	147
0.087074	-0.010925	-0.150696	0.023010	0	-0.0000725	0.0277538	0.9970284	0	0.00329757	0.02736974	1.00203824	0	121	506	-1555447098	-1555447098	147
0.087311	0.001831	0.067810	0.026672	0	0.0001316	0.0369930	0.9921284	0	0.00375867	0.02838230	1.00047421	0	137	506	-601044022	-601044022	147
0.111037	-0.048401	0.206970	0.090637	0	0.0047894	0.0315418	0.9888134	0	0.00435185	0.02904677	1.00124645	0	153	506	1671044496	1671044496	147
0.111080	0.031067	-0.032654	0.064636	0	0.0000725	0.0275307	0.9903584	0	0.00694132	0.02991986	1.00106621	0	169	506	1064009302	1064009302	147
0.111114	-0.020508	0.093750	0.040649	0	0.0012093	0.0302067	0.9905243	0	0.00476170	0.02730227	0.99897742	0	185	506	-734310259	-734310259	147
0.135013	-0.039307	0.053528	-0.079956	0	0.0072536	0.0279598	0.9924507	0	0.00353575	0.02564263	1.00009656	0	201	505	1190628128	1190628128	147
0.135052	-0.110413	-0.001648	0.046326	0	0.0041904	0.0290928	0.9915543	0	0.00558829	0.02471328	0.99735761	0	217	506	-631077011	-631077011	147
0.135077	-0.068726	-0.036499	0.093506	0	0.0025692	0.0262833	0.9922810	0	0.00556636	0.02677059	0.99889302	0	233	507	1410769263	1410769263	147
0.158978	0.035156	0.182678	0.146423	0	-0.0002174	0.0294571	0.9868507	0	0.00854468	0.02442956	0.99908519	0	249	507	1280590214	1280590214	147
0.159024	0.081604	-0.054199	0.105347	0	0.0013428	0.0291901	0.9913425	0	0.00564742	0.02266431	1.00097227	0	9	507	-127498344	-127498344	147
0.159036	0.029785	0.024231	0.094238	0	0.0012226	0.0302162	0.9872112	0	0.00401354	0.02513576	0.99839950	0	25	506	748085349	748085349	147
0.182953	-0.007690	-0.101013	-0.029663	0	0.0033855	0.0293598	0.9936352	0	0.00524783	0.02799129	1.00041676	0	41	506	1199805293	1199805293	147
0.183030	-0.022339	0.066589	-0.013306	0	0.0031815	0.0304031	0.9933929	0	0.00461245	0.02558041	0.99473238	0	57	506	1223815447	1223815447	147
0.183046	0.031433	0.091675	-0.031494	0	0.0012112	0.0285721	0.9916630	0	0.00812602	0.02976203	1.00084162	0	73	506	-503690682	-503690682	147
0.206926	-0.063538	-0.034119	0.042786	0	0.0032806	0.0340595	0.9906445	0	0.00501204	0.02911949	1.00083685	0	89	506	1961336882	1961336882	147
0.206940	-0.162903	0.166382	0.056396	0	0.0031929	0.0312805	0.9947548	0	0.00216317	0.02966356	1.00047064	0	105	507	1840705657	1840705657	147
0.206977	0.002197	-0.068237	0.043335	0	0.0024548	0.0339336	0.9927769	0	0.00270486	0.03040385	0.99983692	0	121	506	-571374491	-571374491	147
0.230926	-0.093262	0.042786	-0.003662	0	0.0017300	0.0275211	0.9969978	0	0.00148726	0.02895331	0.99893594	0	137	506	-1419545455	-1419545455	147
0.230940	-0.179688	0.122192	-0.040039	0	0.0004025	0.0323696	0.9941616	0	0.00729203	0.02948642	1.00246072	0	153	507	361095781	361095781	147
0.230952	-0.235474	-0.065247	0.032349	0	0.0013027	0.0278816	0.9902630	0	0.00464368	0.02914071	1.00131989	0	169	507	963069589	963069589	147
0.255111	-0.080200	-0.103760	0.068542	0	0.0090084	0.0306931	0.9911079	0	0.00412250	0.02811885	1.00222540	0	185	506	-1242751476	-1242751476	147
0.255127	-0.018555	-0.000610	0.071228	0	0.0017796	0.0304623	0.9936924	0	0.00320125	0.02507663	1.00283504	0	201	506	1469284277	1469284277	147
0.255139	-0.029907	0.127197	0.063721	0	0.0068550	0.0268726	0.9904308	0	0.00576067	0.02637267	1.00246429	0	217	506	677889028	677889028	147
0.278877	-0.051025	0.021545	0.003906	0	0.0042477	0.0273075	0.9898224	0	0.00737643	0.02537179	0.99951863	0	233	506	-2069947000	-2069947000	147
0.278892	-0.020569	-0.069519	0.066284	0	0.0028057	0.0313358	0.9888268	0	0.00573945	0.02516937	0.99683166	0	249	506	851008258	851008258	147
0.278903	-0.060730	-0.034912	0.085876	0	0.0024033	0.0299854	0.9921989	0	0.00677419	0.02506685	0.99831438	0	9	506	756585335	756585335	147
0.302856	-0.117004	0.043640	0.078613	0	0.0027771	0.0284557	0.9883461	0	0.00812531	0.02673268	1.00081110	0	25	506	1873634687	1873634687	147
0.302935	-0.042542	-0.029114	0.033386	0	-0.0001469	0.0306473	0.9898872	0	0.00607967	0.02604055	0.99666333	0	41	507	104161874	104161874	147
0.302947	0.032349	-0.077148	0.101318	0	0.0048523	0.0281582	0.9902935	0	0.00479054	0.02806139	0.99781346	0	57	507	657185925	657185925	147
0.326836	-0.059570	0.083801	0.017761	0	0.0069466	0.0300045	0.9899311	0	0.00501943	0.02672791	0.99543047	0	73	507	1884491777	1884491777	147
0.326856	0.002502	-0.131958	0.022400	0	0.0063076	0.0313091	0.9934368	0	0.00525737	0.02651024	0.99947190	0	89	506	1828666209	1828666209	147
0.326912	0.081360	0.027222	0.059937	0	0.0061588	0.0297813	0.9954777	0	0.00541186	0.02457094	1.00094008	0	105	506	670066350	670066350	147
0.350770	-0.123047	-0.018250	0.136597	0	0.0053463	0.0282269	0.9881535	0	0.01031828	0.02742577	1.00312209	0	121	506	1106297393	1106297393	147
0.350786	-0.108765	-0.073181	0.048889	0	0.0004025	0.0317936	0.9898796	0	0.00689936	0.02964830	1.00081110	0	137	506	2070723015	2070723015	147
0.350825	-0.086060	0.018799	-0.049194	0	-0.0000877	0.0274410	0.9918842	0	0.00378919	0.02587152	0.99819589	0	153	506	-6354806	-6354806	147
0.374797	-0.206970	0.042847	0.114563	0	0.0047169	0.0349255	0.9945068	0	0.00459170	0.02595901	1.00073218	0	169	507	96012407	96012407	147
0.374830	-0.072266	-0.108521	0.095337	0	0.0054092	0.0298481	0.9901505	0	0.00401330	0.02851486	1.00164175	0	185	506	1116415360	1116415360	147
0.374844	-0.001953	0.042419	0.037537	0	0.0007076	0.0300179	0.9904099	0	0.00352311	0.02860904	1.00049376	0	201	507	323799705	323799705	147
0.398764	-0.019348	-0.112061	0.179321	0	0.0007324	0.0323830	0.9872665	0	0.00366926	0.02731752	0.99920368	0	217	507	310254036	310254036	147
0.398786	0.021912	-0.038635	0.050903	0	-0.0005703	0.0315094	0.9891491	0	0.00432849	0.02937841	0.99626088	0	233	507	-1773722494	-1773722494	147
0.398805	-0.099854	0.056396	0.026611	0	0.0003815	0.0313377	0.9930573	0	0.00282764	0.02835321	0.99644971	0	249	507	-525844314	-525844314	147
0.422794	-0.083252	0.005676	0.000427	0	-0.0006237	0.0289249	0.9893627	0	0.00436950	0.02699471	0.99930358	0	9	506	1039344864	1039344864	147
0.422885	0.017456	-0.027161	-0.040833	0	0.0044003	0.0321236	0.9940414	0	0.00262046	0.02804184	0.99942994	0	25	506	1800934867	1800934867	147
0.422907	-0.155762	0.026917	-0.003540	0	0.0043850	0.0261211	0.9878101	0	0.00708532	0.02587342	0.99985957	0	41	506	-1337416108	-1337416108	147
