T[s]	GYRO_X	GYRO_Y	GYRO_Z	GyroSts	ACC_X	ACC_Y	ACC_Z	AccSts	INC_X	INC_Y	INC_Z	IncSts	Counter	Latency	RxCRC	CalCRC	DG_ID	
0.103756	-0.024475	0.026855	-0.021118	0	0.9983807	0.0053291	-0.0003948	0	1.00066829	0.01048756	0.00122404	0	113	506	-1174627956	-1174627956	147
0.103770	-0.026733	0.034973	-0.007202	0	0.9982758	0.0049934	-0.0002575	0	1.00060964	0.01043200	0.00153637	0	129	507	-1962600533	-1962600533	147
0.103780	-0.017395	0.016785	-0.003540	0	0.9978294	0.0049324	-0.0002174	0	1.00082493	0.00996542	0.00196695	0	145	507	-1026004720	-1026004720	147
0.125653	-0.002747	0.007202	-0.012207	0	0.9973698	0.0051250	-0.0001678	0	1.00069475	0.00960422	0.00176978	0	161	507	1334054136	1334054136	147
0.125665	0.007080	0.009155	-0.025574	0	0.9972057	0.0051651	-0.0002098	0	1.00015974	0.00994539	0.00119734	0	177	507	-1083035095	-1083035095	147
0.125675	0.008301	0.005981	-0.034424	0	0.9972649	0.0053463	-0.0003262	0	0.99972129	0.01076770	0.00078487	0	193	506	-1112034808	-1112034808	147
0.125685	0.009216	0.009949	-0.029846	0	0.9973869	0.0057564	-0.0003471	0	0.99953628	0.01122546	0.00013757	0	209	506	-220537248	-220537248	147
0.130179	0.006165	0.016907	-0.020630	0	0.9974651	0.0059834	-0.0001717	0	0.99970865	0.01076579	-0.00073004	0	225	506	-1966363238	-1966363238	147
0.130190	-0.005188	-0.003357	-0.021912	0	0.9974213	0.0059319	-0.0000706	0	1.00015879	0.00988269	-0.00078773	0	241	506	-957265028	-957265028	147
0.165611	-0.014038	-0.020935	-0.030151	0	0.9972801	0.0056343	-0.0002594	0	1.00055099	0.00938034	0.00008154	0	1	506	933113193	933113193	147
0.165660	-0.020508	0.003052	-0.032837	0	0.9972153	0.0051651	-0.0003414	0	1.00075483	0.00934076	0.00058556	0	17	506	1182164738	1182164738	147
0.165670	-0.028259	0.023804	-0.025146	0	0.9973164	0.0047836	-0.0001945	0	1.00079131	0.00933981	0.00019503	0	33	507	796559542	796559542	147
0.165679	-0.026978	0.010681	-0.016846	0	0.9973068	0.0044708	-0.0000534	0	1.00071383	0.00919652	-0.00036430	0	49	507	-752949258	-752949258	147
0.165688	-0.018982	-0.002380	-0.017395	0	0.9970970	0.0042763	-0.0000801	0	1.00044870	0.00901151	-0.00062323	0	65	507	52851244	52851244	147
0.189575	-0.017700	-0.004761	-0.023560	0	0.9974079	0.0044708	-0.0004730	0	0.99987817	0.00878286	-0.00058842	0	81	507	-1545606169	-1545606169	147
0.189585	-0.021362	-0.006714	-0.029663	0	0.9982414	0.0048485	-0.0009003	0	0.99926639	0.00866389	-0.00013685	0	97	506	736987597	736987597	147
0.189607	-0.023071	0.006592	-0.030212	0	0.9985657	0.0052280	-0.0011120	0	0.99896717	0.00893807	0.00048089	0	113	506	-2109975128	-2109975128	147
0.213553	-0.022827	0.036499	-0.022156	0	0.9983597	0.0056553	-0.0012875	0	0.99914765	0.00948358	0.00084996	0	129	506	-1189020236	-1189020236	147
0.213606	-0.015198	0.047241	-0.010620	0	0.9981060	0.0059509	-0.0010624	0	0.99977684	0.00988007	0.00113177	0	145	506	-2085547256	-2085547256	147
