T[s]	GYRO_X	GYRO_Y	GYRO_Z	GyroSts	ACC_X	ACC_Y	ACC_Z	AccSts	INC_X	INC_Y	INC_Z	IncSts	Counter	Latency	RxCRC	CalCRC	DG_ID	
0.155446	-0.024109	0.010620	-0.042175	0	-0.0025539	0.9956799	-0.0087166	0	-0.00228333	1.00283837	-0.00780177	0	225	506	121963400	121963400	147
0.155461	-0.005493	-0.003235	-0.035156	0	-0.0017910	0.9954205	-0.0088234	0	-0.00238252	1.00230575	-0.00777721	0	241	506	2008544033	2008544033	147
0.155483	0.005432	-0.002136	-0.027161	0	-0.0013676	0.9957180	-0.0085659	0	-0.00219440	1.00189161	-0.00803995	0	1	507	1114820622	1114820622	147
0.179446	0.000244	0.005371	-0.034790	0	-0.0013657	0.9964809	-0.0084095	0	-0.00195837	1.00169611	-0.00814056	0	17	507	541512622	541512622	147
0.179458	-0.011902	0.008484	-0.043518	0	-0.0016556	0.9963760	-0.0085335	0	-0.00193858	1.00155687	-0.00802231	0	33	507	-1352694404	-1352694404	147
0.179480	-0.010803	0.008179	-0.041565	0	-0.0019264	0.9958096	-0.0087566	0	-0.00162339	1.00154757	-0.00797415	0	49	507	-280847081	-280847081	147
0.203445	-0.008789	0.006592	-0.034119	0	-0.0018902	0.9956207	-0.0086346	0	-0.00102329	1.00192285	-0.00797176	0	65	507	1012792603	1012792603	147
0.207935	-0.020142	0.005249	-0.024963	0	-0.0017738	0.9954720	-0.0082436	0	-0.00092745	1.00213671	-0.00774789	0	81	507	-1108731980	-1108731980	147
0.207945	-0.025391	0.011902	-0.021484	0	-0.0020351	0.9953041	-0.0081768	0	-0.00124311	1.00174141	-0.00745082	0	97	506	1148776003	1148776003	147
0.227445	-0.017761	0.017822	-0.025146	0	-0.0024261	0.9952831	-0.0084114	0	-0.00133801	1.00119090	-0.00737548	0	113	506	-2145183356	-2145183356	147
0.227494	-0.013977	0.006042	-0.025696	0	-0.0023994	0.9952126	-0.0085125	0	-0.00134826	1.00095773	-0.00768685	0	129	506	1454986423	1454986423	147
0.227504	-0.015442	-0.009705	-0.017578	0	-0.0021877	0.9948902	-0.0085926	0	-0.00142813	1.00102925	-0.00847387	0	145	506	-997614475	-997614475	147
0.251378	-0.017456	-0.011230	-0.002502	0	-0.0021324	0.9945889	-0.0089321	0	-0.00128293	1.00092697	-0.00906873	0	161	506	594806916	594806916	147
0.251387	-0.027344	-0.006104	0.006958	0	-0.0021343	0.9946671	-0.0092678	0	-0.00101280	1.00041580	-0.00889897	0	177	507	163402000	163402000	147
0.251440	-0.041870	-0.003967	-0.002625	0	-0.0021763	0.9948997	-0.0092506	0	-0.00078034	1.00013781	-0.00839758	0	193	507	156178458	156178458	147
0.275370	-0.047546	-0.002197	-0.025208	0	-0.0022507	0.9951344	-0.0090046	0	-0.00043201	1.00062847	-0.00792313	0	209	507	303047631	303047631	147
0.275380	-0.041809	-0.002991	-0.039917	0	-0.0024109	0.9955063	-0.0088139	0	-0.00007772	1.00182390	-0.00765085	0	225	507	-795892726	-795892726	147
0.275428	-0.031128	-0.013733	-0.036804	0	-0.0027580	0.9959240	-0.0086765	0	-0.00017405	1.00319314	-0.00774837	0	241	506	-1653662669	-1653662669	147
0.299348	-0.022034	-0.024780	-0.021851	0	-0.0027428	0.9962406	-0.0085049	0	-0.00095415	1.00399280	-0.00792575	0	1	506	170863291	170863291	147
0.299357	-0.019104	-0.024414	-0.009460	0	-0.0020142	0.9961834	-0.0087147	0	-0.00184631	1.00421953	-0.00783968	0	17	506	-2081739385	-2081739385	147
0.299367	-0.016479	-0.009521	-0.012756	0	-0.0012684	0.9956760	-0.0094967	0	-0.00205064	1.00420737	-0.00772977	0	33	506	452502732	452502732	147
0.323320	-0.012207	0.012817	-0.027893	0	-0.0010090	0.9954720	-0.0100288	0	-0.00145698	1.00405908	-0.00799179	0	49	506	-1102535420	-1102535420	147
0.323330	-0.018494	0.016785	-0.046753	0	-0.0011749	0.9957409	-0.0098362	0	-0.00070214	1.00424719	-0.00843573	0	65	506	353192280	353192280	147
0.323340	-0.028870	0.005554	-0.054626	0	-0.0015717	0.9954643	-0.0093956	0	-0.00040269	1.00475240	-0.00863361	0	81	506	-1340758445	-1340758445	147
0.347294	-0.030823	0.002197	-0.040466	0	-0.0018482	0.9948254	-0.0090733	0	-0.00048351	1.00471091	-0.00852466	0	97	507	-886371854	-886371854	147
0.347305	-0.029724	-0.006897	-0.023254	0	-0.0019569	0.9949856	-0.0087929	0	-0.00078678	1.00395823	-0.00833559	0	113	507	1961246199	1961246199	147
0.347315	-0.036316	-0.025513	-0.012085	0	-0.0019188	0.9954853	-0.0085659	0	-0.00142002	1.00313425	-0.00799775	0	129	506	-1248098489	-1248098489	147
0.371273	-0.048706	-0.024231	0.001648	0	-0.0017014	0.9954014	-0.0085831	0	-0.00198865	1.00252080	-0.00745368	0	145	506	-1938349915	-1938349915	147
0.371363	-0.051025	-0.002747	0.007263	0	-0.0017776	0.9954414	-0.0089703	0	-0.00198197	1.00203991	-0.00721645	0	161	506	-1005401950	-1005401950	147
0.371373	-0.042419	0.015747	-0.003723	0	-0.0023689	0.9960442	-0.0093937	0	-0.00177264	1.00167871	-0.00749660	0	177	506	346607299	346607299	147
0.395251	-0.035706	0.028259	-0.023987	0	-0.0030785	0.9962502	-0.0093460	0	-0.00175548	1.00135660	-0.00775218	0	193	506	986116762	986116762	147
0.395262	-0.032898	0.030212	-0.042236	0	-0.0035839	0.9960365	-0.0091267	0	-0.00165272	1.00111365	-0.00772452	0	209	506	1308804163	1308804163	147
0.395317	-0.027954	0.015564	-0.042480	0	-0.0036640	0.9962044	-0.0092564	0	-0.00135517	1.00133753	-0.00808239	0	225	506	624005133	624005133	147
0.419250	-0.019531	0.005554	-0.022888	0	-0.0031357	0.9962635	-0.0093918	0	-0.00105715	1.00194263	-0.00890923	0	241	507	167848881	167848881	147
0.419263	-0.016968	0.016846	-0.005005	0	-0.0024700	0.9958744	-0.0089397	0	-0.00116134	1.00223875	-0.00922918	0	1	507	1736996276	1736996276	147
0.419319	-0.023621	0.026794	-0.003967	0	-0.0025272	0.9958267	-0.0084000	0	-0.00214243	1.00224853	-0.00890803	0	17	507	1909771442	1909771442	147
0.443225	-0.024536	0.018555	-0.006165	0	-0.0031624	0.9960690	-0.0086555	0	-0.00321698	1.00240636	-0.00848031	0	33	506	1434681400	1434681400	147
0.443236	-0.013306	0.010986	0.002686	0	-0.0034943	0.9961853	-0.0093460	0	-0.00307107	1.00247169	-0.00825405	0	49	507	-327339829	-327339829	147
0.443258	-0.004761	0.011597	0.011719	0	-0.0031223	0.9964752	-0.0096989	0	-0.00206304	1.00221920	-0.00854278	0	65	506	-400951154	-400951154	147
0.467197	-0.005554	0.003723	0.003784	0	-0.0024242	0.9966278	-0.0095272	0	-0.00128198	1.00210118	-0.00888991	0	81	506	428425001	428425001	147
0.467207	-0.006470	-0.009521	-0.015808	0	-0.0021095	0.9959164	-0.0090961	0	-0.00086021	1.00235915	-0.00842237	0	97	506	738475230	738475230	147
0.467229	-0.002502	-0.006531	-0.026794	0	-0.0022850	0.9951591	-0.0088863	0	-0.00049138	1.00259662	-0.00770354	0	113	506	1049318555	1049318555	147
0.491190	-0.004272	0.002869	-0.029663	0	-0.0025673	0.9954624	-0.0088406	0	-0.00028229	1.00268078	-0.00769877	0	129	506	1588513006	1588513006	147
0.491200	-0.015320	-0.004150	-0.034363	0	-0.0025616	0.9958878	-0.0085506	0	-0.00041747	1.00279474	-0.00804567	0	145	507	-442149200	-442149200	147
0.491222	-0.023499	-0.006653	-0.034424	0	-0.0021667	0.9956245	-0.0081959	0	-0.00093341	1.00312257	-0.00824332	0	161	507	1869140941	1869140941	147
0.515176	-0.026794	0.008850	-0.022095	0	-0.0017910	0.9955845	-0.0080891	0	-0.00182700	1.00379753	-0.00848794	0	177	507	1707967281	1707967281	147
0.515235	-0.023376	0.013306	-0.001953	0	-0.0014896	0.9959412	-0.0080051	0	-0.00251508	1.00434875	-0.00880790	0	193	507	-1881730417	-1881730417	147
0.515245	-0.008972	0.003662	0.006775	0	-0.0009537	0.9959202	-0.0079060	0	-0.00252414	1.00416732	-0.00908399	0	209	507	706689033	706689033	147
0.539150	0.001038	0.007690	-0.003235	0	-0.0008202	0.9956722	-0.0082150	0	-0.00233269	1.00337076	-0.00950217	0	225	506	1189536813	1189536813	147
0.539200	0.000366	0.018005	-0.015503	0	-0.0017872	0.9955635	-0.0087280	0	-0.00217271	1.00243306	-0.00963759	0	241	506	180040938	180040938	147
0.539210	0.001526	0.008301	-0.020935	0	-0.0029049	0.9954758	-0.0088024	0	-0.00183511	1.00178814	-0.00888181	0	1	506	-1310065255	-1310065255	147
0.563126	-0.000122	-0.009155	-0.024353	0	-0.0030155	0.9956493	-0.0085373	0	-0.00171709	1.00171614	-0.00793409	0	17	506	1966315570	1966315570	147
0.563137	-0.014648	-0.010254	-0.027039	0	-0.0024357	0.9960098	-0.0082207	0	-0.00219131	1.00206780	-0.00753951	0	33	506	-1785532203	-1785532203	147
0.563193	-0.030090	-0.000488	-0.022827	0	-0.0019836	0.9959087	-0.0078411	0	-0.00274515	1.00246191	-0.00750327	0	49	506	1752680466	1752680466	147
0.587095	-0.029358	0.007385	-0.013611	0	-0.0018501	0.9957504	-0.0075951	0	-0.00283527	1.00249815	-0.00761890	0	65	507	-2009311603	-2009311603	147
