T[s]	GYRO_X	GYRO_Y	GYRO_Z	GyroSts	ACC_X	ACC_Y	ACC_Z	AccSts	INC_X	INC_Y	INC_Z	IncSts	Counter	Latency	RxCRC	CalCRC	DG_ID	
0.103277	0.000183	0.012695	-0.017761	0	0.0003834	-0.0010586	0.9993114	0	0.00006390	0.00366783	1.00060320	0	1	506	-649253103	-649253103	147
0.103303	-0.002869	0.012329	-0.015320	0	0.0003891	-0.0008926	0.9991760	0	-0.00010586	0.00335836	1.00082874	0	17	506	-224808223	-224808223	147
0.127239	0.005493	0.024902	-0.014343	0	0.0001488	-0.0004330	0.9996510	0	-0.00014329	0.00351048	1.00172663	0	33	506	2081526475	2081526475	147
0.127389	0.009583	0.028503	-0.014038	0	-0.0000668	0.0001450	0.9998474	0	0.00001597	0.00392556	1.00213552	0	49	506	-463114231	-463114231	147
0.127399	-0.001465	0.008911	-0.009155	0	-0.0002804	0.0006561	1.0000076	0	-0.00010467	0.00439548	1.00159168	0	65	506	-2089397457	-2089397457	147
0.151218	-0.013550	-0.015320	-0.003113	0	-0.0006275	0.0006771	1.0002575	0	-0.00047708	0.00472808	1.00107121	0	81	506	188965590	188965590	147
0.151228	-0.016724	-0.025940	-0.001831	0	-0.0009003	0.0002594	1.0001183	0	-0.00048542	0.00485563	1.00112510	0	97	507	-1258862220	-1258862220	147
0.151456	-0.014404	-0.027039	-0.007690	0	-0.0009937	0.0001831	0.9997425	0	0.00018787	0.00511265	1.00125170	0	113	507	-70287953	-70287953	147
0.175186	-0.005798	-0.019653	-0.019104	0	-0.0011921	0.0003624	0.9993820	0	0.00097394	0.00547647	1.00119543	0	129	507	1211000687	1211000687	147
0.175196	0.005737	-0.009644	-0.029785	0	-0.0011444	0.0000629	0.9987507	0	0.00095749	0.00550628	1.00119185	0	145	507	634026952	634026952	147
0.175206	0.009155	-0.008850	-0.026184	0	-0.0004520	-0.0005112	0.9983082	0	0.00013924	0.00531268	1.00114179	0	161	506	-569186946	-569186946	147
0.199162	0.008484	-0.010620	-0.009766	0	0.0003052	-0.0006294	0.9986935	0	-0.00069213	0.00518847	1.00100374	0	177	506	-1958923905	-1958923905	147
0.199174	0.013733	-0.009460	-0.002014	0	0.0006313	-0.0002251	0.9988804	0	-0.00088477	0.00496888	1.00098538	0	193	506	2043284763	2043284763	147
0.199183	0.015259	-0.012512	-0.006714	0	0.0005836	0.0000343	0.9981995	0	-0.00038862	0.00464034	1.00083399	0	209	506	1553095842	1553095842	147
0.223161	0.004944	-0.018005	-0.011658	0	0.0003490	-0.0001106	0.9981461	0	0.00028920	0.00462055	1.00052333	0	225	506	1346767251	1346767251	147
0.223172	-0.004639	-0.017212	-0.015808	0	0.0001736	-0.0002899	0.9991112	0	0.00064111	0.00479722	1.00051856	0	241	506	-1435561497	-1435561497	147
0.223181	-0.006348	-0.009644	-0.022461	0	-0.0001392	-0.0003376	0.9993763	0	0.00058317	0.00435591	1.00047255	0	1	507	433966125	433966125	147
0.287143	-0.008911	-0.004517	-0.025757	0	-0.0007057	-0.0002346	0.9989281	0	0.00029469	0.00329018	0.99985504	0	17	507	-1399103960	-1399103960	147
