T[s]	GYRO_X	GYRO_Y	GYRO_Z	GyroSts	ACC_X	ACC_Y	ACC_Z	AccSts	INC_X	INC_Y	INC_Z	IncSts	Counter	Latency	RxCRC	CalCRC	DG_ID	
0.080558	-0.038940	0.018677	0.006165	0	0.0123634	0.0031013	0.9858532	0	0.01453137	-0.00089812	0.99838281	0	164	506	1937047222	1937047222	147
0.080584	-0.039124	0.011963	0.010376	0	0.0122490	0.0032082	0.9870224	0	0.01450324	-0.00085568	0.99879575	0	180	506	-90762045	-90762045	147
0.104494	-0.043335	0.012268	0.020813	0	0.0114880	0.0027695	0.9884624	0	0.01397038	-0.00106955	0.99979758	0	196	506	1850592626	1850592626	147
0.104663	-0.040710	0.015442	0.037354	0	0.0096855	0.0020771	0.9884586	0	0.01255465	-0.00139165	1.00053692	0	212	506	-256908900	-256908900	147
0.104678	-0.037292	0.013489	0.057312	0	0.0073414	0.0016117	0.9872150	0	0.01034522	-0.00145197	1.00090027	0	228	506	1936141927	1936141927	147
0.128471	-0.039185	0.017456	0.075378	0	0.0058079	0.0017834	0.9866276	0	0.00851488	-0.00139713	1.00109339	0	244	506	1624164268	1624164268	147
0.128491	-0.048340	0.035583	0.087646	0	0.0058136	0.0026951	0.9875450	0	0.00789118	-0.00132918	1.00120378	0	4	507	161908113	161908113	147
0.128827	-0.061829	0.049316	0.085266	0	0.0070553	0.0037727	0.9885139	0	0.00801516	-0.00116611	1.00145745	0	20	506	-964120230	-964120230	147
0.152375	-0.074219	0.044739	0.064758	0	0.0091000	0.0042305	0.9881420	0	0.00865126	-0.00099993	1.00161481	0	36	507	-1164099356	-1164099356	147
0.152399	-0.082825	0.034241	0.042969	0	0.0114079	0.0040092	0.9872417	0	0.01013923	-0.00076938	1.00123739	0	52	507	1207232478	1207232478	147
0.152412	-0.085144	0.028198	0.031189	0	0.0131645	0.0039444	0.9870663	0	0.01245284	-0.00053120	1.00074124	0	68	507	-293656491	-293656491	147
0.176397	-0.078735	0.017029	0.023132	0	0.0139599	0.0041466	0.9871407	0	0.01491094	-0.00053930	1.00051284	0	84	506	-1790436038	-1790436038	147
0.176419	-0.068970	-0.002197	0.018433	0	0.0137882	0.0038948	0.9866791	0	0.01631093	-0.00082469	1.00029731	0	100	506	-680941143	-680941143	147
0.176431	-0.066711	-0.009644	0.025391	0	0.0128822	0.0031185	0.9861507	0	0.01613927	-0.00115561	0.99992704	0	116	506	-1862463968	-1862463968	147
0.265274	-0.068481	0.007141	0.042725	0	0.0116653	0.0022297	0.9863186	0	0.01516771	-0.00145316	0.99924850	0	132	506	-471763246	-471763246	147
0.265306	-0.063843	0.030762	0.054688	0	0.0101604	0.0016785	0.9874363	0	0.01396298	-0.00201106	0.99853301	0	148	506	1647244986	1647244986	147
0.265326	-0.059570	0.037415	0.050964	0	0.0084629	0.0015182	0.9886208	0	0.01218629	-0.00277734	0.99858093	0	164	506	-619323811	-619323811	147
0.265344	-0.065796	0.029297	0.039917	0	0.0071373	0.0012703	0.9886570	0	0.01003051	-0.00320530	0.99939227	0	180	506	356161186	356161186	147
0.265410	-0.075928	0.023010	0.032959	0	0.0064106	0.0010147	0.9879189	0	0.00857139	-0.00311637	1.00029063	0	196	507	1933611908	1933611908	147
0.265428	-0.073486	0.015686	0.031433	0	0.0061741	0.0012035	0.9873734	0	0.00818563	-0.00291681	1.00095892	0	212	507	-969497577	-969497577	147
0.265446	-0.056641	0.002991	0.031494	0	0.0066147	0.0019417	0.9871616	0	0.00836301	-0.00278211	1.00144982	0	228	506	1724903941	1724903941	147
0.265491	-0.040039	0.003967	0.030212	0	0.0080070	0.0029907	0.9872055	0	0.00903797	-0.00231242	1.00183439	0	244	506	1976164385	1976164385	147
0.265509	-0.033875	0.023315	0.028992	0	0.0101185	0.0038261	0.9873219	0	0.01051784	-0.00161219	1.00188732	0	4	506	332138289	332138289	147
0.265527	-0.034180	0.035828	0.031372	0	0.0122032	0.0040970	0.9871559	0	0.01231360	-0.00127006	1.00144696	0	20	506	347062868	347062868	147
0.265545	-0.035339	0.027222	0.032837	0	0.0135365	0.0040302	0.9868526	0	0.01361036	-0.00133562	1.00112557	0	36	506	-1013016130	-1013016130	147
0.289257	-0.042969	0.008118	0.030518	0	0.0137329	0.0041409	0.9866829	0	0.01439977	-0.00161672	1.00133467	0	52	506	-1215138598	-1215138598	147
0.289280	-0.055847	-0.006104	0.033997	0	0.0127125	0.0044670	0.9866199	0	0.01461458	-0.00181365	1.00131273	0	68	506	825155333	825155333	147
0.289293	-0.060547	-0.010559	0.046204	0	0.0108662	0.0044651	0.9868145	0	0.01378584	-0.00160551	1.00074339	0	84	506	-1569010178	-1569010178	147
0.313281	-0.047546	-0.007996	0.061462	0	0.0088940	0.0038376	0.9873199	0	0.01231074	-0.00128460	1.00051332	0	100	507	1826313707	1826313707	147
0.313406	-0.026428	-0.001892	0.081238	0	0.0072727	0.0030022	0.9881496	0	0.01106954	-0.00135493	1.00106859	0	116	507	84522576	84522576	147
0.313425	-0.028381	0.002747	0.096252	0	0.0062466	0.0023365	0.9889812	0	0.01019669	-0.00168753	1.00180101	0	132	506	1024599813	1024599813	147
0.337178	-0.056763	0.004639	0.087769	0	0.0059814	0.0020218	0.9888935	0	0.00942755	-0.00168467	1.00201201	0	148	506	-106558278	-106558278	147
0.337243	-0.078613	0.009216	0.067871	0	0.0066528	0.0023422	0.9878845	0	0.00898719	-0.00132489	1.00164771	0	164	506	-1040816285	-1040816285	147
0.337256	-0.078918	0.015198	0.054321	0	0.0083237	0.0029507	0.9868431	0	0.00943184	-0.00115609	1.00111461	0	180	506	308668017	308668017	147
0.361156	-0.064453	0.019775	0.038025	0	0.0105190	0.0031834	0.9863396	0	0.01073003	-0.00109744	1.00084496	0	196	506	-210942680	-210942680	147
0.361188	-0.052917	0.027710	0.012817	0	0.0125256	0.0030136	0.9865723	0	0.01259708	-0.00080633	1.00077820	0	212	506	1783737460	1783737460	147
0.361252	-0.054688	0.035645	-0.010620	0	0.0138226	0.0026207	0.9871578	0	0.01481462	-0.00069308	1.00039840	0	228	507	1950569083	1950569083	147
0.385140	-0.058472	0.036987	-0.015564	0	0.0141201	0.0021915	0.9874268	0	0.01632524	-0.00090408	0.99972272	0	244	507	239836400	239836400	147
0.385169	-0.060547	0.029419	0.002625	0	0.0131302	0.0019474	0.9873543	0	0.01641059	-0.00107908	0.99924707	0	4	507	-1715076964	-1715076964	147
0.385182	-0.064758	0.013733	0.030334	0	0.0108643	0.0019398	0.9872494	0	0.01566696	-0.00156474	0.99924827	0	20	507	587688146	587688146	147
0.409100	-0.059387	0.002075	0.051147	0	0.0082684	0.0020409	0.9870701	0	0.01439643	-0.00244117	0.99976993	0	36	506	-468087953	-468087953	147
0.409130	-0.040222	0.001709	0.061157	0	0.0061989	0.0019894	0.9866924	0	0.01240683	-0.00281119	1.00041986	0	52	506	1278869012	1278869012	147
0.409149	-0.026123	0.006348	0.060425	0	0.0050068	0.0020008	0.9864807	0	0.00998092	-0.00241637	1.00058770	0	68	506	1656130355	1656130355	147
0.433127	-0.027405	0.010376	0.047363	0	0.0048714	0.0025883	0.9868126	0	0.00807118	-0.00186992	1.00028634	0	84	506	2095786052	2095786052	147
0.433162	-0.039551	0.012024	0.033997	0	0.0055141	0.0031757	0.9871769	0	0.00760937	-0.00149107	1.00015330	0	100	506	1860254763	1860254763	147
0.433178	-0.052246	0.013794	0.029724	0	0.0069351	0.0030880	0.9872112	0	0.00848770	-0.00114393	1.00052190	0	116	506	272262961	272262961	147
0.457127	-0.056946	0.014587	0.022278	0	0.0092125	0.0028629	0.9873543	0	0.00995827	-0.00084162	1.00082517	0	132	506	-971503617	-971503617	147
0.457180	-0.060913	0.009033	0.007568	0	0.0116444	0.0027790	0.9876423	0	0.01147103	-0.00073242	1.00061131	0	148	506	-1060339065	-1060339065	147
0.457192	-0.065125	-0.000916	-0.000671	0	0.0137558	0.0026112	0.9876060	0	0.01279092	-0.00071216	1.00036192	0	164	506	-1605789401	-1605789401	147
0.481015	-0.055420	-0.007446	0.007324	0	0.0150509	0.0025520	0.9871330	0	0.01377988	-0.00063515	1.00026226	0	180	507	-2014119808	-2014119808	147
0.481036	-0.035767	-0.005493	0.026306	0	0.0149136	0.0026035	0.9864883	0	0.01439929	-0.00035954	0.99999809	0	196	507	231791965	231791965	147
0.481085	-0.033691	0.001587	0.043091	0	0.0134449	0.0023746	0.9861031	0	0.01478124	-0.00002193	0.99974155	0	212	507	763316802	763316802	147
0.504982	-0.057190	0.006104	0.052734	0	0.0109062	0.0019512	0.9861641	0	0.01460719	-0.00036216	0.99981785	0	228	506	-653698288	-653698288	147
0.505004	-0.071960	0.002197	0.050903	0	0.0081100	0.0017529	0.9865437	0	0.01333547	-0.00139260	1.00038981	0	244	506	-1917654240	-1917654240	147
0.505051	-0.064331	-0.005432	0.040894	0	0.0063190	0.0018101	0.9872131	0	0.01131678	-0.00192761	1.00137544	0	4	506	-556730444	-556730444	147
0.528984	-0.059082	-0.000305	0.044800	0	0.0057354	0.0021458	0.9877033	0	0.00958419	-0.00143838	1.00230217	0	20	506	407661159	407661159	147
