rosbagTimestamp,data
1543949949034564533,"""$GPRMC,185909.00,A,4150.1497975,N,08737.5074670,W,0.060,18.2,041218,0.0,E,A*14\r\n"""
1543949950031439366,"""$GPRMC,185910.00,A,4150.1498078,N,08737.5074232,W,0.041,9.5,041218,0.0,E,A*21\r\n"""
1543949951031581938,"""$GPRMC,185911.00,A,4150.1498152,N,08737.5073965,W,0.016,265.3,041218,0.0,E,A*2B\r\"
1543949952035437737,"""$GPRMC,185912.00,A,4150.1497858,N,08737.5073534,W,0.058,98.7,041218,0.0,E,A*12\r\n"""
1543949953034321906,"""$GPRMC,185913.00,A,4150.1497851,N,08737.5073139,W,0.039,359.5,041218,0.0,E,A*28\r\"
1543949954035467582,"""$GPRMC,185914.00,A,4150.1497845,N,08737.5072488,W,0.054,89.3,041218,0.0,E,A*17\r\n"""
1543949955035210580,"""$GPRMC,185915.00,A,4150.1497741,N,08737.5072107,W,0.089,309.2,041218,0.0,E,A*25\r\"
1543949956039260978,"""$GPRMC,185916.00,A,4150.1497767,N,08737.5071862,W,0.033,79.0,041218,0.0,E,A*1C\r\n"""
1543949957038824761,"""$GPRMC,185917.00,A,4150.1499470,N,08737.5080137,W,0.072,176.9,041218,0.0,E,A*23\r\"
1543949958039434766,"""$GPRMC,185918.00,A,4150.1497981,N,08737.5073454,W,0.041,270.6,041218,0.0,E,A*27\r\"
1543949959035275443,"""$GPRMC,185919.00,A,4150.1498619,N,08737.5076253,W,0.084,303.0,041218,0.0,E,A*29\r\"
1543949960039322012,"""$GPRMC,185920.00,A,4150.1498924,N,08737.5077675,W,0.069,354.4,041218,0.0,E,A*26\r\"
1543949961043098864,"""$GPRMC,185921.00,A,4150.1498780,N,08737.5077084,W,0.065,306.0,041218,0.0,E,A*20\r\"
1543949962035202770,"""$GPRMC,185922.00,A,4150.1496910,N,08737.5068681,W,0.031,223.2,041218,0.0,E,A*22\r\"
1543949963042468507,"""$GPRMC,185923.00,A,4150.1497824,N,08737.5068521,W,0.066,131.6,041218,0.0,E,A*2B\r\"
1543949964035567286,"""$GPRMC,185924.00,A,4150.1497449,N,08737.5070730,W,0.041,322.5,041218,0.0,E,A*26\r\"
1543949965046081781,"""$GPRMC,185925.00,A,4150.1498173,N,08737.5067140,W,0.028,158.5,041218,0.0,E,A*23\r\"
1543949966043345143,"""$GPRMC,185926.00,A,4150.1497267,N,08737.5065050,W,0.154,56.7,041218,0.0,E,A*1C\r\n"""
1543949967042484500,"""$GPRMC,185927.00,A,4150.1497372,N,08737.5066800,W,0.107,352.4,041218,0.0,E,A*24\r\"
1543949968035333351,"""$GPRMC,185928.00,A,4150.1520047,N,08737.5055654,W,0.039,348.5,041218,0.0,E,A*2A\r\"
1543949969038083428,"""$GPRMC,185929.00,A,4150.1496845,N,08737.5066004,W,0.092,261.7,041218,0.0,E,A*27\r\"
1543949970035081493,"""$GPRMC,185930.00,A,4150.1496456,N,08737.5065201,W,0.035,78.4,041218,0.0,E,A*11\r\n"""
1543949971039271873,"""$GPRMC,185931.00,A,4150.1521594,N,08737.5054688,W,0.090,258.3,041218,0.0,E,A*2D\r\"
1543949972039480890,"""$GPRMC,185932.00,A,4150.1521927,N,08737.5055619,W,0.095,168.3,041218,0.0,E,A*26\r\"
1543949973035092335,"""$GPRMC,185933.00,A,4150.1495759,N,08737.5067125,W,0.080,109.9,041218,0.0,E,A*2E\r\"
1543949974035188075,"""$GPRMC,185934.00,A,4150.1495179,N,08737.5068912,W,0.104,325.3,041218,0.0,E,A*25\r\"
1543949975034076695,"""$GPRMC,185935.00,A,4150.1495024,N,08737.5069417,W,0.099,29.4,041218,0.0,E,A*19\r\n"""
1543949976039118415,"""$GPRMC,185936.00,A,4150.1494697,N,08737.5069773,W,0.047,189.2,041218,0.0,E,A*2A\r\"
1543949977047069354,"""$GPRMC,185937.00,A,4150.1523755,N,08737.5061973,W,0.124,125.8,041218,0.0,E,A*27\r\"
1543949978039193086,"""$GPRMC,185938.00,A,4150.1494276,N,08737.5069869,W,0.056,39.6,041218,0.0,E,A*15\r\n"""
1543949979038433881,"""$GPRMC,185939.00,A,4150.1494164,N,08737.5070499,W,0.054,175.4,041218,0.0,E,A*26\r\"
1543949980039999870,"""$GPRMC,185940.00,A,4150.1493902,N,08737.5070920,W,0.086,90.1,041218,0.0,E,A*18\r\n"""
1543949981038989149,"""$GPRMC,185941.00,A,4150.1493742,N,08737.5071645,W,0.068,242.8,041218,0.0,E,A*2A\r\"
1543949982039382352,"""$GPRMC,185942.00,A,4150.1493426,N,08737.5072169,W,0.105,300.9,041218,0.0,E,A*2E\r\"
1543949983038105048,"""$GPRMC,185943.00,A,4150.1495165,N,08737.5062397,W,0.076,352.2,041218,0.0,E,A*20\r\"
1543949984035083511,"""$GPRMC,185944.00,A,4150.1495209,N,08737.5062546,W,0.067,323.5,041218,0.0,E,A*25\r\"
1543949985030974073,"""$GPRMC,185945.00,A,4150.1495087,N,08737.5062449,W,0.025,308.7,041218,0.0,E,A*23\r\"
1543949986033979620,"""$GPRMC,185946.00,A,4150.1494964,N,08737.5062409,W,0.033,114.4,041218,0.0,E,A*2A\r\"
1543949987039016936,"""$GPRMC,185947.00,A,4150.1494981,N,08737.5062403,W,0.017,285.0,041218,0.0,E,A*23\r\"
1543949988038914886,"""$GPRMC,185948.00,A,4150.1494978,N,08737.5062516,W,0.018,328.1,041218,0.0,E,A*27\r\"
1543949989036069606,"""$GPRMC,185949.00,A,4150.1495102,N,08737.5062839,W,0.095,271.1,041218,0.0,E,A*2A\r\"
1543949990039993079,"""$GPRMC,185950.00,A,4150.1495175,N,08737.5062907,W,0.087,351.3,041218,0.0,E,A*2C\r\"
1543949991039157725,"""$GPRMC,185951.00,A,4150.1495372,N,08737.5063092,W,0.028,178.2,041218,0.0,E,A*21\r\"
1543949992035131494,"""$GPRMC,185952.00,A,4150.1495473,N,08737.5063196,W,0.097,152.8,041218,0.0,E,A*27\r\"
1543949993035133650,"""$GPRMC,185953.00,A,4150.1495688,N,08737.5063329,W,0.037,134.9,041218,0.0,E,A*2D\r\"
1543949994036006140,"""$GPRMC,185954.00,A,4150.1495917,N,08737.5063610,W,0.022,176.0,041218,0.0,E,A*27\r\"
1543949995035016323,"""$GPRMC,185955.00,A,4150.1496222,N,08737.5063889,W,0.036,36.3,041218,0.0,E,A*15\r\n"""
1543949996035818149,"""$GPRMC,185956.00,A,4150.1496603,N,08737.5064176,W,0.017,352.8,041218,0.0,E,A*26\r\"
1543949997033778236,"""$GPRMC,185957.00,A,4150.1496918,N,08737.5064510,W,0.072,157.6,041218,0.0,E,A*2C\r\"
1543949998034962617,"""$GPRMC,185958.00,A,4150.1497198,N,08737.5064823,W,0.044,321.7,041218,0.0,E,A*28\r\"
1543949999032463358,"""$GPRMC,185959.00,A,4150.1497520,N,08737.5065093,W,0.078,152.3,041218,0.0,E,A*21\r\"
1543950000030929455,"""$GPRMC,190000.00,A,4150.1497889,N,08737.5065451,W,0.045,194.2,041218,0.0,E,A*21\r\"
1543950001032153445,"""$GPRMC,190001.00,A,4150.1498086,N,08737.5065674,W,0.116,334.2,041218,0.0,E,A*22\r\"
1543950002030234674,"""$GPRMC,190002.00,A,4150.1498575,N,08737.5066223,W,0.078,317.0,041218,0.0,E,A*27\r\"
1543950003031300973,"""$GPRMC,190003.00,A,4150.1498571,N,08737.5066308,W,0.102,111.9,041218,0.0,E,A*2B\r\"
1543950004037900832,"""$GPRMC,190004.00,A,4150.1498830,N,08737.5066445,W,0.108,160.0,041218,0.0,E,A*2F\r\"
1543950005035076228,"""$GPRMC,190005.00,A,4150.1498281,N,08737.5070921,W,0.062,43.1,041218,0.0,E,A*1A\r\n"""
