rosbagTimestamp,data,\,0.15,0,0,6,5,0,0,0,6,0,03*27b281e9\r\n,,,,,,,,,,,,,,,
1.56701499482789E+018,#BESTXYZA,COM1,0,66.5,FINESTEERING,2068,323813,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.2258,-4755076.1812,4232285.9705,1.5531,3.5681,4.1821,SOL_COMPUTED,DOPPLER_VELOCITY,0.0018,0.024,-0.0061,0.1856,0.4265,0.4999,\,\
1.56701499582476E+018,#BESTXYZA,COM1,0,66.5,FINESTEERING,2068,323814,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.2368,-4755076.1932,4232285.9574,1.5533,3.569,4.1816,SOL_COMPUTED,DOPPLER_VELOCITY,0.0178,-0.0171,-0.0411,0.1857,0.4266,0.4998,\,\
1.5670149968228E+018,#BESTXYZA,COM1,0,65,FINESTEERING,2068,323815,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.2487,-4755076.1615,4232285.9085,1.5536,3.5699,4.1811,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0338,-0.0343,0.124,0.1857,0.4267,0.4997,\,\
1.56701499782214E+018,#BESTXYZA,COM1,0,65,FINESTEERING,2068,323816,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.2711,-4755076.1348,4232285.8719,1.5537,3.5707,4.1803,SOL_COMPUTED,DOPPLER_VELOCITY,0.0042,0.0193,-0.0899,0.1857,0.4268,0.4996,\,\
1.56701499882599E+018,#BESTXYZA,COM1,0,66.5,FINESTEERING,2068,323817,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.2929,-4755076.1137,4232285.8374,1.5535,3.5709,4.1789,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0171,0.0112,-0.0443,0.1857,0.4268,0.4995,\,\
1.56701499982487E+018,#BESTXYZA,COM1,0,63.5,FINESTEERING,2068,323818,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.2997,-4755076.085,4232285.7761,1.5537,3.5719,4.1784,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0341,-0.0464,-0.0037,0.1857,0.4269,0.4994,\,\
1.56701500083005E+018,#BESTXYZA,COM1,0,63.5,FINESTEERING,2068,323819,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.3082,-4755076.0893,4232285.7345,1.5538,3.5726,4.1773,SOL_COMPUTED,DOPPLER_VELOCITY,0.0273,-0.0314,-0.0564,0.1857,0.427,0.4993,\,\
1.56701500183389E+018,#BESTXYZA,COM1,0,63.5,FINESTEERING,2068,323820,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.7495,-4755081.5547,4232287.9538,1.7354,3.1985,2.9592,SOL_COMPUTED,DOPPLER_VELOCITY,0.0075,0.0037,-0.0074,0.2074,0.3823,0.3537,\,\
1.56701500283326E+018,#BESTXYZA,COM1,0,62,FINESTEERING,2068,323821,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.806,-4755081.092,4232287.8843,1.7351,3.1365,2.9552,SOL_COMPUTED,DOPPLER_VELOCITY,-0.013,0.0777,0.0168,0.2074,0.3749,0.3532,\,\
1.56701500383339E+018,#BESTXYZA,COM1,0,62,FINESTEERING,2068,323822,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.7911,-4755081.8271,4232288.1151,1.7349,3.0835,2.9517,SOL_COMPUTED,DOPPLER_VELOCITY,0.0047,-0.0448,0.0162,0.2074,0.3686,0.3528,\,\
