X	Y
0022.3541402677	-316.2487848572
0006.1878228193	-327.2292311940
0017.3985581997	-158.6219357089
0017.8057801485	-163.5862996528
0008.3734142816	-243.8165215752
0008.5429845160	-258.3205387866
0019.6534958054	-243.9249315500
0026.2513127126	-358.3207664774
0009.3249743908	-306.1761950778
0020.7396968470	-426.1208506684
0005.7515441539	-227.1026780695
0023.3084601087	-291.9248862063
0018.1081608394	-178.2498340804
-002.7410938510	-046.3210031392
0016.0545267577	-078.3159915735
0019.3517350706	-207.8066338084
0011.0667437775	-026.0920026940
-002.8408208084	-046.3384220915
0011.1095464912	-026.0615505810
0014.3474694879	-112.1147644746
0006.8558370379	-188.2187113268
0011.6848305676	-033.0063706588
0020.1162202725	-221.1188303369
0008.6751664532	-000.9820766288
0011.2604879699	-038.3950213625
0024.5400130405	-344.2505076471
0016.6762616728	-116.2250945449
0004.9285131453	-153.5964953385
0000.1260271619	-035.3658885414
0015.8030505393	-137.2399135073
0014.4464915104	-389.4167861730
0009.6377730391	-267.0110712441
0010.7986240895	-021.3958230982
0009.7317970164	-313.0417587361
0004.7133321551	-129.8811085310
0012.5379558860	-044.9299204972
0014.0874693111	-053.2081035183
0012.5582363027	-063.3004288696
0022.3231959912	-316.2180641555
0023.5143972395	-191.3822686694
0013.9798991753	-053.1702864348
0024.3424884468	-299.7117941203
0015.4389782098	-127.2869114870
0023.3417535924	-338.4838643826
0023.3593610201	-291.9249030507
0007.8054377649	0003.6740638386
0025.1656904717	-349.0964374770
0004.7176205168	-346.2855394549
0019.3799596097	-207.9440393032
0004.4485124133	-129.7505391249
0006.1956363692	-327.1988341661
0028.6408717398	-416.0660943685
0003.2536268646	-283.8379787113
0027.5544821036	-390.2615267455
0008.2353318296	-284.6100011540
0020.6518422840	-238.4025927820
0017.5908011910	-148.4968456378
0023.5347461064	-191.3626318901
0017.6751563502	-148.3855889425
0011.3927000018	-038.2784781323
0010.8829672259	-334.1661673153
-002.7242112603	-046.3334323510
0010.6823226711	-342.7428048121
0017.5556802955	-148.4454758543
0008.2687879889	-000.4796653689
-001.7805533455	-021.3228901304
0019.9104184116	-254.3169677660
0008.6449252299	-277.3165220251
0013.9633025119	-053.1660993855
0013.7059497198	-073.8941685878
-004.9090586695	-089.8143432299
0011.4289407711	-038.2265258128
0009.1010337791	-371.9799472307
0007.2498402802	-263.0351315558
0012.4587725277	-384.6095755862
0014.9310344663	-103.0603607887
0012.3620576118	-362.3342987978
0021.6772629539	-104.2873298156
0005.2898407476	-218.6948615722
0006.7567707525	-158.6346780075
0016.0075997026	-078.3074614774
