X	Y
0022.3576825373	-316.2468612926
0006.1897704891	-327.2278546220
0017.3939056758	-158.6223874627
0017.8110956875	-163.5819845777
0008.3715658915	-243.8192547655
0008.5425259646	-258.3261555881
0019.6359447874	-243.9304221641
0026.2534967588	-358.3210830772
0009.3264066150	-306.1809237608
0020.7492701685	-426.1277668161
0005.7485260844	-227.1024753862
0023.3146584972	-291.9226873781
0018.1094684159	-178.2485468804
-002.7396915580	-046.3210640471
0016.0597727455	-078.3104473251
0019.3578331984	-207.7985215724
0011.0650858585	-026.0991341911
-002.8404146885	-046.3270828989
0011.1088687161	-026.0614978338
0014.3520880334	-112.1184094279
0006.8557666843	-188.2177981708
0011.6845565342	-033.0081890353
0020.1145378233	-221.1248449271
0008.6654684145	-000.9692804319
0011.2648472466	-038.3923089239
0024.5411931089	-344.2510877402
0016.6754642443	-116.2274043191
0004.9293534559	-153.6034782648
0000.1271670530	-035.3609305668
0015.8070699578	-137.2395990337
0014.4460617100	-389.4165958579
0009.6441982256	-267.0152174650
0010.7991685294	-021.3946971448
0009.7312869102	-313.0435143548
0004.7111430868	-129.8859997769
0012.5380884573	-044.9318313398
0014.0842389676	-053.2180179046
0012.5579570935	-063.3019314079
0022.3226120305	-316.2162866650
0023.5226016236	-191.3767918705
0013.9774367630	-053.1708854036
0024.3426994336	-299.7150883420
0015.4390815892	-127.2908391875
0023.3425502699	-338.4859037213
0023.3548483476	-291.9246251993
0007.7927264046	0003.7023646227
0025.1652829583	-349.0962512139
0004.7263066013	-346.2772104973
0019.3808924609	-207.9434247956
0004.4418968405	-129.7507288534
0006.1948402768	-327.1994798256
0028.6375120384	-416.0676760635
0003.2593202553	-283.8343477928
0027.5551167887	-390.2603161725
0008.2387329398	-284.6069177488
0020.6527572152	-238.4020796956
0017.5905973373	-148.4903159160
0023.5336037360	-191.3655251063
0017.6761825424	-148.3918685650
0011.3942916797	-038.2743778916
0010.8832420598	-334.1680718053
-002.7249453320	-046.3340902422
0010.6805567889	-342.7447292823
0017.5552139650	-148.4491889724
0008.2769130452	-000.4801986125
-001.7814228634	-021.3224098672
0019.9073726359	-254.3177100288
0008.6448874077	-277.3172223756
0013.9634056271	-053.1668183926
0013.7110514953	-073.8966210727
-004.9082431765	-089.8133632941
0011.4311020386	-038.2267941253
0009.1028532941	-371.9733576045
0007.2501569148	-263.0352427662
0012.4588223904	-384.6079017777
0014.9088573837	-103.0744835909
0012.3616539300	-362.3352577003
0021.6508239300	-104.3017252404
0005.2894205075	-218.6939797849
0006.7746590963	-158.6255789951
0016.0083693300	-078.3048830150
0010.2200923082	-014.6768161499
0005.9895863387	-136.2772420859
0011.2883964426	-038.3600083283
0013.7674171070	-073.9319252548
0013.9584112781	-053.1884985416
0026.3753396274	-360.5859756333
0021.6494247492	-104.3508088981
0007.2661895976	-263.0482902786
