frame number,timestamp
0,2068.039
1,2068.139
2,2068.239
3,2068.339
4,2068.439
5,2068.539
6,2068.639
7,2068.739
8,2068.839
9,2068.939
10,2069.039
11,2069.139
12,2069.239
13,2069.339
14,2069.439
15,2069.539
16,2069.639
17,2069.739
18,2069.839
19,2069.939
20,2070.039
21,2070.139
22,2070.239
23,2070.339
24,2070.439
25,2070.539
26,2070.639
27,2070.739
28,2070.839
29,2070.939
30,2071.039
31,2071.139
32,2071.239
33,2071.339
34,2071.439
35,2071.539
36,2071.639
37,2071.739
38,2071.839
39,2071.939
40,2072.039
41,2072.139
42,2072.239
43,2072.339
44,2072.439
45,2072.539
46,2072.639
47,2072.739
48,2072.839
49,2072.939
50,2073.039
51,2073.139
52,2073.239
53,2073.339
54,2073.439
55,2073.539
56,2073.639
57,2073.739
58,2073.839
59,2073.939
60,2074.039
61,2074.139
62,2074.239
63,2074.339
64,2074.439
65,2074.539
66,2074.639
67,2074.739
68,2074.839
69,2074.939
70,2075.039
71,2075.139
72,2075.239
73,2075.339
74,2075.439
75,2075.539
76,2075.639
77,2075.739
78,2075.839
79,2075.939
80,2076.039
81,2076.139
82,2076.239
83,2076.339
84,2076.439
85,2076.539
86,2076.639
87,2076.739
88,2076.839
89,2076.939
90,2077.039
91,2077.139
92,2077.239
93,2077.339
94,2077.439
95,2077.539
96,2077.639
97,2077.739
98,2077.839
99,2077.939
100,2078.039
101,2078.139
102,2078.239
103,2078.339
104,2078.439
105,2078.539
106,2078.639
107,2078.739
108,2078.839
109,2078.939
110,2079.039
111,2079.139
112,2079.239
113,2079.339
114,2079.439
115,2079.539
116,2079.639
117,2079.739
118,2079.839
119,2079.939
120,2080.039
121,2080.139
122,2080.239
123,2080.339
124,2080.439
125,2080.539
126,2080.639
127,2080.739
128,2080.839
129,2080.939
130,2081.039
131,2081.139
132,2081.239
133,2081.339
134,2081.439
135,2081.539
136,2081.639
137,2081.739
138,2081.839
139,2081.939
140,2082.039
141,2082.139
142,2082.239
143,2082.339
144,2082.439
145,2082.539
146,2082.639
147,2082.739
148,2082.839
149,2082.939
150,2083.039
151,2083.139
152,2083.239
153,2083.339
154,2083.439
155,2083.539
156,2083.639
157,2083.739
158,2083.839
159,2083.939
160,2084.039
161,2084.139
162,2084.24
163,2084.34
164,2084.44
165,2084.54
166,2084.64
167,2084.74
168,2084.84
169,2084.94
170,2085.04
171,2085.14
172,2085.24
173,2085.34
174,2085.44
175,2085.54
176,2085.64
177,2085.74
178,2085.84
179,2085.94
180,2086.04
181,2086.14
182,2086.24
183,2086.34
184,2086.44
185,2086.54
186,2086.64
187,2086.74
188,2086.84
189,2086.94
190,2087.04
191,2087.14
192,2087.24
193,2087.34
194,2087.44
195,2087.54
196,2087.64
197,2087.74
198,2087.84
199,2087.94
200,2088.04
201,2088.14
202,2088.24
203,2088.34
204,2088.44
205,2088.54
206,2088.64
207,2088.74
208,2088.84
209,2088.94
210,2089.04
211,2089.14
212,2089.24
213,2089.34
214,2089.44
215,2089.54
216,2089.64
217,2089.74
218,2089.84
219,2089.94
220,2090.04
221,2090.14
222,2090.24
223,2090.34
224,2090.44
225,2090.54
226,2090.64
227,2090.74
228,2090.84
229,2090.94
230,2091.04
231,2091.14
232,2091.24
233,2091.34
234,2091.44
235,2091.54
236,2091.64
237,2091.74
238,2091.84
239,2091.94
240,2092.04
241,2092.14
242,2092.24
243,2092.34
244,2092.44
245,2092.54
246,2092.64
247,2092.74
248,2092.84
249,2092.94
250,2093.04
251,2093.14
252,2093.24
253,2093.34
254,2093.44
255,2093.54
256,2093.64
257,2093.74
258,2093.84
259,2093.94
260,2094.04
261,2094.14
262,2094.24
263,2094.34
264,2094.44
265,2094.54
266,2094.64
267,2094.74
268,2094.84
269,2094.94
270,2095.04
271,2095.14
272,2095.24
273,2095.34
274,2095.44
275,2095.54
276,2095.64
277,2095.74
278,2095.84
279,2095.94
280,2096.04
281,2096.14
282,2096.24
283,2096.34
284,2096.44
285,2096.54
286,2096.64
287,2096.74
288,2096.84
289,2096.94
290,2097.04
291,2097.14
292,2097.24
293,2097.34
294,2097.44
295,2097.54
296,2097.64
297,2097.74
298,2097.84
299,2097.94
300,2098.04
301,2098.14
302,2098.24
303,2098.34
304,2098.44
305,2098.54
306,2098.64
307,2098.74
308,2098.84
309,2098.94
310,2099.04
311,2099.14
312,2099.24
313,2099.34
314,2099.44
315,2099.54
316,2099.64
317,2099.74
318,2099.84
319,2099.94
320,2100.04
321,2100.14
322,2100.24
323,2100.34
324,2100.44
325,2100.54
326,2100.64
327,2100.74
328,2100.84
329,2100.94
330,2101.04
331,2101.14
332,2101.24
333,2101.34
334,2101.44
335,2101.54
336,2101.64
337,2101.74
338,2101.84
339,2101.94
340,2102.04
341,2102.14
342,2102.24
343,2102.341
344,2102.441
345,2102.541
346,2102.641
347,2102.741
348,2102.841
349,2102.941
350,2103.041
351,2103.141
352,2103.241
353,2103.341
354,2103.441
355,2103.541
356,2103.641
357,2103.741
358,2103.841
359,2103.941
360,2104.041
361,2104.141
362,2104.241
363,2104.341
364,2104.441
365,2104.541
366,2104.641
367,2104.741
368,2104.841
369,2104.941
370,2105.041
371,2105.141
372,2105.241
373,2105.341
374,2105.441
375,2105.541
376,2105.641
377,2105.741
378,2105.841
379,2105.941
380,2106.041
381,2106.141
382,2106.241
383,2106.341
384,2106.441
385,2106.541
386,2106.641
387,2106.741
388,2106.841
389,2106.941
390,2107.041
391,2107.141
392,2107.241
393,2107.341
394,2107.441
395,2107.541
396,2107.641
397,2107.741
398,2107.841
399,2107.941
400,2108.041
401,2108.141
402,2108.241
403,2108.342
404,2108.442
405,2108.542
406,2108.642
407,2108.742
408,2108.842
409,2108.942
410,2109.042
411,2109.142
412,2109.242
413,2109.342
414,2109.442
415,2109.542
416,2109.642
417,2109.742
418,2109.842
419,2109.942
420,2110.042
421,2110.142
422,2110.242
423,2110.342
424,2110.442
425,2110.542
426,2110.642
427,2110.742
428,2110.842
429,2110.942
430,2111.042
431,2111.142
432,2111.242
433,2111.342
434,2111.442
435,2111.542
436,2111.642
437,2111.742
438,2111.842
439,2111.942
440,2112.042
441,2112.142
442,2112.242
443,2112.342
444,2112.442
445,2112.542
446,2112.642
447,2112.742
448,2112.842
449,2112.942
450,2113.042
451,2113.142
452,2113.242
453,2113.342
454,2113.442
455,2113.542
456,2113.642
457,2113.742
458,2113.842
459,2113.942
460,2114.042
461,2114.142
462,2114.242
463,2114.342
464,2114.442
465,2114.542
466,2114.642
467,2114.742
468,2114.842
469,2114.942
470,2115.042
471,2115.142
472,2115.242
473,2115.342
474,2115.442
475,2115.542
476,2115.642
477,2115.742
478,2115.842
479,2115.942
480,2116.042
481,2116.142
482,2116.242
483,2116.342
484,2116.442
485,2116.542
486,2116.642
487,2116.742
488,2116.842
489,2116.942
490,2117.042
491,2117.142
492,2117.242
493,2117.342
494,2117.443
495,2117.543
496,2117.643
497,2117.743
498,2117.843
499,2117.943
500,2118.043
501,2118.143
502,2118.243
503,2118.343
504,2118.443
505,2118.543
506,2118.643
507,2118.743
508,2118.843
509,2118.943
510,2119.043
511,2119.143
512,2119.243
513,2119.343
514,2119.443
515,2119.543
516,2119.643
517,2119.743
518,2119.843
519,2119.943
520,2120.043
521,2120.143
522,2120.243
523,2120.343
524,2120.443
525,2120.543
526,2120.643
527,2120.743
528,2120.843
529,2120.943
530,2121.043
531,2121.143
532,2121.243
533,2121.343
534,2121.443
535,2121.543
536,2121.643
537,2121.743
538,2121.843
539,2121.943
540,2122.043
541,2122.143
542,2122.243
543,2122.343
544,2122.443
545,2122.543
546,2122.643
547,2122.743
548,2122.843
549,2122.943
550,2123.043
